CPE001;QTN0001;OTN001;EXPOSITIVO;N
CPE001;QTN0001;OTN002;INFERENCIA;Y
CPE001;QTN0001;OTN003;CONCLUSION;N
CPE001;QTN0001;OTN004;IDEA PRINCIPAL;N
CPE001;QTN0002;OTN001;CRITICO Y PROPOSITIVO;Y
CPE001;QTN0002;OTN002;EL AUTOR UTILIZA DATOS ESTADISTICOS PARA SUSTENTAR SU TESIS;N
CPE001;QTN0002;OTN003;NARRATIVO;N
CPE001;QTN0002;OTN004;EXPOSITIVO;N
CPE001;QTN0003;OTN001;SE INFIERE QUE EL AUTOR DEFIENDE EL ACCESO IGUALITARIO A ESTE BIEN;N
CPE001;QTN0003;OTN002;EXPOSITIVO;Y
CPE001;QTN0003;OTN003;EXPLICACION;N
CPE001;QTN0003;OTN004;SE TRATA DE UN TEXTO CON INTENCION CLARAMENTE ARGUMENTATIVA;N
CPE001;QTN0004;OTN001;INFERENCIA;N
CPE001;QTN0004;OTN002;ARGUMENTATIVO;N
CPE001;QTN0004;OTN003;ADICION;Y
CPE001;QTN0004;OTN004;EL AUTOR UTILIZA DATOS ESTADISTICOS PARA SUSTENTAR SU TESIS;N
CPE001;QTN0005;OTN001;TEMPORALIDAD;N
CPE001;QTN0005;OTN002;ARGUMENTAR A FAVOR DE UNA REFORMA ESTRUCTURAL EN EL AMBITO TRATADO;N
CPE001;QTN0005;OTN003;NEUTRAL E IMPARCIAL;N
CPE001;QTN0005;OTN004;CRITICO Y PROPOSITIVO;Y
CPE001;QTN0006;OTN001;SE INFIERE QUE EL AUTOR DEFIENDE EL ACCESO IGUALITARIO A ESTE BIEN;N
CPE001;QTN0006;OTN002;LA POSICION DEL AUTOR ES FAVORABLE A LAS POLITICAS DE INCLUSION;N
CPE001;QTN0006;OTN003;UNA CONCLUSION QUE SINTETIZA EL ARGUMENTO CENTRAL DEL FRAGMENTO;N
